participant_id	SUBSES	MOMSES	DADSES	PSES
sub-2235A	30	63	66	64.5
sub-2237A	19	30	22	26
sub-2238A	20	61	58	59.5
sub-2240A	33	55	38	46.5
sub-2245A	40	66	53	59.5
sub-2246A	50	40	32	36
sub-2249A	11	45	55	50
sub-2252A	20	56	58	57
sub-2259A	45	46	61	53.5
sub-2262A	51	53	53	53
sub-2266A	58	20	63	41.5
sub-2267A	66	60	61	60.5
sub-2268A	40	40	36	38
sub-2269A	51	56	22	39
sub-2276A	63	53	66	59.5
sub-2279A	63	55	58	56.5
sub-2290A	53	50	63	56.5
sub-2318A	40	58	63	60.5
sub-2320A	40	53	58	55.5
sub-2336A	30	61	66	63.5
sub-2342A	30	58	55	56.5
sub-2350A	51	43	53	48
sub-2351A	24	25	35	30
sub-2355A	48	37	27	32
sub-2356A	43	58	43	50.5
sub-2367A	25	58	53	55.5
sub-2372A	51	46	42	44
sub-2379A	20	43	n/a	43
sub-2384A	40	58	50	54
sub-2387A	30	43	66	54.5
sub-2389A	30	66	66	66
sub-2392A	20	58	58	58
sub-2397A	40	21	21	21
sub-2403A	27	45	n/a	45
sub-2406A	45	50	48	49
sub-2418A	25	19	32	25.5
sub-2419A	58	55	52	53.5
sub-2426A	22	29	29	29
sub-2430A	40	45	66	55.5
sub-2431A	27	33	n/a	33
sub-2442A	50	58	66	62
sub-2448A	25	45	27	36
sub-2456A	40	61	61	61
sub-2476A	27	45	32	38.5
sub-2477A	20	58	61	59.5
sub-2479A	20	25	50	37.5
sub-2480A	47	50	60	55
sub-2494A	56	17	47	32
sub-2496A	51	47	42	44.5
sub-2498A	30	27	27	27
sub-2503A	23	66	63	64.5
sub-2505A	22	32	n/a	32
sub-2512A	53	23	52	37.5
sub-2514A	43	43	58	50.5
sub-2518A	58	47	47	47
sub-2526A	40	55	52	53.5
sub-2530A	11	17	22	19.5
sub-2538A	48	53	29	41
sub-2574A	51	48	66	57
sub-2578A	30	48	61	54.5
sub-2581A	40	58	47	52.5